filename,comercio_id,etl_run,storage_class,file_type,Downloadable,upload_timestamp
sepa_1_comercio-sepa-10_2016-04-22_03-46-32.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/22 03:46:32
sepa_1_comercio-sepa-10_2016-04-23_02-38-46.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/23 02:38:46
sepa_1_comercio-sepa-10_2016-04-24_02-37-00.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/24 02:37:00
sepa_1_comercio-sepa-10_2016-04-25_01-36-07.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/25 01:36:07
sepa_1_comercio-sepa-10_2016-04-26_01-00-09.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/26 01:00:09
sepa_1_comercio-sepa-10_2016-04-27_01-00-01.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/27 01:00:01
sepa_1_comercio-sepa-10_2016-04-28_02-22-09.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/28 02:22:09
sepa_1_comercio-sepa-10_2016-04-29_02-22-09.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/29 02:22:09
sepa_1_comercio-sepa-10_2016-04-30_02-22-09.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/04/30 02:22:09
sepa_1_comercio-sepa-10_2016-05-01_01-26-13.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/01 01:26:13
sepa_1_comercio-sepa-10_2016-05-02_01-06-45.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/02 01:06:45
sepa_1_comercio-sepa-10_2016-05-03_02-22-10.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/03 02:22:10
sepa_1_comercio-sepa-10_2016-05-04_09-01-12.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/04 09:01:12
sepa_1_comercio-sepa-10_2016-05-05_01-27-46.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/05 01:27:46
sepa_1_comercio-sepa-10_2016-05-06_07-23-23.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/06 07:23:23
sepa_1_comercio-sepa-10_2016-05-07_07-00-12.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/07 07:00:12
sepa_1_comercio-sepa-10_2016-05-08_09-00-09.zip, 10, 10:00hs, GLACIER, zip, FALSE, 2016/05/08 09:00:09
